
Processing Draw_OneCookie.C(false)...
infile = ../dc764/transmittance_cookief_10.txt
infile = ../dc764/transmittance_cookief_20.txt
infile = ../dc764/transmittance_cookief_30.txt
315 0.6914 0.00518845
320 0.723267 0.00271539
325 0.7569 0.00288271
330 0.790033 0.00362261
335 0.817367 0.00300888
340 0.838 0.00235797
345 0.847133 0.00212211
350 0.851067 0.00181475
355 0.8578 0.00173494
360 0.863933 0.00151767
365 0.866967 0.00189297
370 0.869167 0.00125831
375 0.880067 0.00217792
380 0.886767 0.0020108
385 0.891633 0.00170392
390 0.8967 0.0005
395 0.902267 0.000450925
400 0.902667 0.000862168
405 0.903 0.000519615
410 0.904833 0.000472582
415 0.906433 0.00130512
420 0.909767 0.00107858
425 0.908367 0.000351188
430 0.9082 0.000781025
435 0.9087 0.001
440 0.9099 0.000458258
445 0.911233 0.00011547
450 0.914633 0.000929157
455 0.912033 0.0011547
460 0.913133 0.00115036
465 0.9138 0.00138924
470 0.916533 0.000862168
475 0.914033 0.000907377
480 0.9148 0.0010583
485 0.913067 0.0011547
490 0.9117 0.00111355
495 0.913367 0.00128582
500 0.913333 0.00107858
505 0.9105 0.00137477
510 0.908967 0.00146401
515 0.9088 0.00145258
520 0.907533 0.00115902
525 0.9074 0.00137477
530 0.907133 0.00090185
535 0.907133 0.000814453
540 0.9038 0.000264575
545 0.903067 0.000763763
550 0.904033 0.000351188
555 0.903433 0.000550757
560 0.9029 0.000754983
565 0.899267 0.000503322
570 0.8982 0.00115326
575 0.8961 0.00180278
580 0.895933 0.00260832
585 0.895633 0.00206478
590 0.8941 0.00138924
595 0.8923 0.001253
600 0.890133 0.00142945
