
Processing Draw_OneCookie.C(13,1)... Draw_OneCookie.C(3,0,false)...
infile = ../dc764/transmittance_cookie13_1_10.txt = ../dc764/transmittance_cookie3_0_10.txt
cookie 13, point 1 3, point 1
infile = ../dc764/transmittance_cookie13_1_20.txt = ../dc764/transmittance_cookie3_0_20.txt
cookie 13, point 2 3, point 2
infile = ../dc764/transmittance_cookie13_1_30.txt = ../dc764/transmittance_cookie3_0_30.txt
cookie 13, point 3 3, point 3
315 0.694967 0.00743326 0.7142 0.00611474
320 0.723967 0.00384751 0.7456 0.00576541
325 0.756333 0.00536874 0.775933 0.00356978
330 0.788467 0.00560922 0.8012 0.00292062
335 0.8156 0.00538145 0.827367 0.0024379
340 0.835533 0.00354448 0.847167 0.00225019
345 0.845067 0.00299388 0.855233 0.00176163
350 0.847867 0.0042004 0.8573 0.00160935
355 0.853267 0.00441173 0.862367 0.00133167
360 0.860733 0.00395517 0.867267 0.00106927
365 0.863233 0.00291433 0.869133 0.00213854
370 0.863767 0.00254231 0.8705 0.00134536
375 0.873967 0.00284488 0.884 0.00158745
380 0.8822 0.00255343 0.888467 0.00171561
385 0.887067 0.00320832 0.8928 0.00135277
390 0.891067 0.00210079 0.896433 0.00255408
395 0.895667 0.0015695 0.9029 0.00275136
400 0.895433 0.00210792 0.904167 0.00320832
405 0.895367 0.00275379 0.903367 0.00300222
410 0.8981 0.00212838 0.904167 0.00215019
415 0.900233 0.00172434 0.9064 0.00200749
420 0.903233 0.00113725 0.9093 0.00212838
425 0.903033 0.000929157 0.909833 0.0016563
430 0.9028 0.00202978 0.907833 0.00110151
435 0.9037 0.00276225 0.9078 0.000556776
440 0.904133 0.00281839 0.9092 0.000264575
445 0.905 0.0028 0.9112 0.000458258
450 0.909633 0.00217792 0.916133 0.00136137
455 0.907367 0.00222336 0.911967 0.00137961
460 0.908067 0.00323161 0.913 0.00121244
465 0.908533 0.003188 0.914867 0.000960902
470 0.911233 0.00240069 0.917833 0.00145717
475 0.909433 0.00249466 0.9159 0.00191572
480 0.9094 0.00234307 0.915333 0.00222336
485 0.906933 0.00280416 0.913767 0.0020232
490 0.906133 0.00225462 0.910467 0.00085049
495 0.907933 0.00196044 0.913767 0.00125033
500 0.909533 0.00140119 0.912733 0.0010504
505 0.906767 0.00125033 0.9112 0.0011
510 0.905133 0.00170392 0.910733 0.000152753
515 0.904033 0.00228108 0.907467 0.000378594
520 0.904267 0.00310054 0.9085 0.0007
525 0.903567 0.00238607 0.9084 0.0002
530 0.9034 0.00180831 0.908433 0.000351188
535 0.901 0.00210713 0.9082 0.00131149
540 0.8998 0.00209523 0.904033 0.000750555
545 0.8997 0.00196723 0.905267 0.000208167
550 0.8989 0.0018735 0.904967 0.00158219
555 0.898567 0.00210792 0.9042 0.00196723
560 0.8989 0.0019 0.903967 0.00170098
565 0.8954 0.00230651 0.901733 0.00228108
570 0.893967 0.00215019 0.899733 0.00168622
575 0.8932 0.0020664 0.898867 0.00144338
580 0.892533 0.00206478 0.897167 0.00153731
585 0.891333 0.00217332 0.8935 0.00131149
590 0.889567 0.00159478 0.890567 0.00143643
595 0.888933 0.00254231 0.8898 0.00199249
600 0.886233 0.00231805 0.887733 0.00257358
