
Processing Draw_OneCookie.C(3,0,false)...
infile = ../dc764/transmittance_cookie3_0_10.txt
infile = ../dc764/transmittance_cookie3_0_20.txt
infile = ../dc764/transmittance_cookie3_0_30.txt
315 0.7142 0.00611474
320 0.7456 0.00576541
325 0.775933 0.00356978
330 0.8012 0.00292062
335 0.827367 0.0024379
340 0.847167 0.00225019
345 0.855233 0.00176163
350 0.8573 0.00160935
355 0.862367 0.00133167
360 0.867267 0.00106927
365 0.869133 0.00213854
370 0.8705 0.00134536
375 0.884 0.00158745
380 0.888467 0.00171561
385 0.8928 0.00135277
390 0.896433 0.00255408
395 0.9029 0.00275136
400 0.904167 0.00320832
405 0.903367 0.00300222
410 0.904167 0.00215019
415 0.9064 0.00200749
420 0.9093 0.00212838
425 0.909833 0.0016563
430 0.907833 0.00110151
435 0.9078 0.000556776
440 0.9092 0.000264575
445 0.9112 0.000458258
450 0.916133 0.00136137
455 0.911967 0.00137961
460 0.913 0.00121244
465 0.914867 0.000960902
470 0.917833 0.00145717
475 0.9159 0.00191572
480 0.915333 0.00222336
485 0.913767 0.0020232
490 0.910467 0.00085049
495 0.913767 0.00125033
500 0.912733 0.0010504
505 0.9112 0.0011
510 0.910733 0.000152753
515 0.907467 0.000378594
520 0.9085 0.0007
525 0.9084 0.0002
530 0.908433 0.000351188
535 0.9082 0.00131149
540 0.904033 0.000750555
545 0.905267 0.000208167
550 0.904967 0.00158219
555 0.9042 0.00196723
560 0.903967 0.00170098
565 0.901733 0.00228108
570 0.899733 0.00168622
575 0.898867 0.00144338
580 0.897167 0.00153731
585 0.8935 0.00131149
590 0.890567 0.00143643
595 0.8898 0.00199249
600 0.887733 0.00257358
