
Processing Draw_OneCookie.C(1,false)...
infile = ../dc764/transmittance_cookier_1_10.txt
infile = ../dc764/transmittance_cookier_1_20.txt
infile = ../dc764/transmittance_cookier_1_30.txt
315 0.612267 0.00253246
320 0.6508 0.00330606
325 0.6972 0.00130767
330 0.7315 0.00268514
335 0.755767 0.00253837
340 0.799833 0.00470142
345 0.814667 0.00553203
350 0.8211 0.00563116
355 0.8303 0.00407799
360 0.836367 0.0040464
365 0.839133 0.00518588
370 0.8418 0.00531131
375 0.854 0.004531
380 0.862833 0.00474798
385 0.867667 0.00492375
390 0.8711 0.00608276
395 0.8751 0.00633798
400 0.877967 0.0062963
405 0.877767 0.0046694
410 0.880833 0.00517333
415 0.8831 0.00556507
420 0.8841 0.0062426
425 0.884333 0.00635164
430 0.885767 0.00622281
435 0.887667 0.00556447
440 0.889767 0.0064361
445 0.8903 0.00684324
450 0.894433 0.00661085
455 0.893833 0.00638931
460 0.896333 0.00525389
465 0.897733 0.00565892
470 0.9003 0.00641171
475 0.897467 0.00690097
480 0.897967 0.00656227
485 0.897133 0.00557345
490 0.8967 0.0057376
495 0.8992 0.00615873
500 0.8987 0.00667308
505 0.8968 0.00677348
510 0.896233 0.00560922
515 0.896233 0.00509346
520 0.897633 0.00560922
525 0.8972 0.00566657
530 0.8962 0.00519711
535 0.896533 0.0042004
540 0.896467 0.00430155
545 0.895967 0.00464794
550 0.895567 0.00525484
555 0.894433 0.00568976
560 0.8942 0.00512152
565 0.891333 0.00405134
570 0.891233 0.00385919
575 0.891 0.00478226
580 0.8895 0.00445084
585 0.886133 0.00439356
590 0.8846 0.00398873
595 0.885333 0.0038175
600 0.8824 0.00417612
