
Processing Draw_OneCookie.C(7,2)...
infile = ../dc764/transmittance_cookie7_2_10.txt
cookie 7, point 1
infile = ../dc764/transmittance_cookie7_2_20.txt
cookie 7, point 2
infile = ../dc764/transmittance_cookie7_2_30.txt
cookie 7, point 3
315 0.685967 0.00267644
320 0.7198 0.0020664
325 0.750933 0.00280238
330 0.781733 0.00367741
335 0.8076 0.00456399
340 0.8309 0.00409512
345 0.839667 0.00414045
350 0.843 0.00433128
355 0.8495 0.00389358
360 0.855767 0.0043501
365 0.859267 0.00397031
370 0.861533 0.00384231
375 0.8726 0.003751
380 0.8793 0.00338674
385 0.883967 0.00354448
390 0.889567 0.00343123
395 0.896 0.0025632
400 0.8958 0.00272213
405 0.8964 0.00207846
410 0.898033 0.00204287
415 0.899433 0.00215484
420 0.903367 0.00195533
425 0.902833 0.00165025
430 0.9033 0.00194679
435 0.903367 0.00251462
440 0.904867 0.00248462
445 0.906333 0.00220303
450 0.9099 0.00219317
455 0.908533 0.00208167
460 0.909233 0.00174738
465 0.910433 0.0016773
470 0.912533 0.00102632
475 0.9107 0.00135277
480 0.911 0.00196977
485 0.91 0.00166433
490 0.909833 0.00253837
495 0.9102 0.0021166
500 0.911767 0.00251064
505 0.9084 0.00209523
510 0.9066 0.0023516
515 0.904533 0.00205994
520 0.905933 0.00309246
525 0.906133 0.00291433
530 0.9054 0.0028931
535 0.903867 0.003177
540 0.902633 0.00270617
545 0.902767 0.00338575
550 0.901467 0.00323316
555 0.902433 0.00220076
560 0.901433 0.00223681
565 0.899033 0.00223681
570 0.896267 0.00195021
575 0.894733 0.00168028
580 0.8955 0.0029
585 0.8928 0.00292062
590 0.891167 0.00352467
595 0.889633 0.00328684
600 0.888033 0.00295691
